"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","success","stimulus","key_press","trialtype","response","group","fraction","maxAmt","sliderStart"
"instructions","10","103306","0.0-6.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","[{""page_index"":0,""viewing_time"":1689}]","1690","","","","","","","","",""
"html-slider-response","11","108070","0.0-7.0-1.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","4761","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","simRating","5","your acquaintances","","",""
"html-slider-response","12","115626","0.0-7.0-1.1","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","7552","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","simRating","2","complete strangers","","",""
"html-slider-response","13","118755","0.0-7.0-1.2","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","3127","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","simRating","9","other prolific workers","","",""
"html-slider-response","14","122445","0.0-7.0-1.3","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","3689","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","simRating","9","your closest friends","","",""
"html-slider-response","15","125627","0.0-7.0-1.4","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","3180","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","simRating","6","your high school classmates","","",""
"instructions","16","129381","0.0-8.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","[{""page_index"":0,""viewing_time"":3753}]","3753","","","","","","","","",""
"html-slider-response","17","134647","0.0-9.0-1.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","5263","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","abilRating","5","your high school classmates","","",""
"html-slider-response","18","137504","0.0-9.0-1.1","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","2856","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","abilRating","7","your acquaintances","","",""
"html-slider-response","19","139499","0.0-9.0-1.2","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","1994","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","abilRating","8","your closest friends","","",""
"html-slider-response","20","141747","0.0-9.0-1.3","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","2246","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","abilRating","6","other prolific workers","","",""
"html-slider-response","21","143730","0.0-9.0-1.4","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","1981","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","abilRating","3","complete strangers","","",""
"fullscreen","22","144732","0.0-10.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","","true","","","","","","","",""
"html-keyboard-response","23","145235","0.0-11.0","","","","","","null","","","null","","","","","",""
