"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","23","39831","0.0-5.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","24","40338","0.0-5.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","25","42522","0.0-5.0-2.6","","2181","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12","NOW"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","26","42778","0.0-5.0-3.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","27","43282","0.0-5.0-1.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","28","44728","0.0-5.0-2.7","","1443","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$33<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33<br><br>now","$80<br>in<br>2 weeks","1","33","80","2","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","29","44986","0.0-5.0-3.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$33<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33<br><br>now","$80<br>in<br>2 weeks","1","33","80","2",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","30","45490","0.0-5.0-1.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","31","47022","0.0-5.0-2.8","","1531","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$55<br>in<br>12 weeks","1","54","55","12","NOW"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","32","47278","0.0-5.0-3.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$55<br>in<br>12 weeks","1","54","55","12",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","33","47785","0.0-5.0-1.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","34","49103","0.0-5.0-2.9","","1316","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$28<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12","NOW"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","35","49359","0.0-5.0-3.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","36","49865","0.0-5.0-1.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","37","51656","0.0-5.0-2.10","","1788","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","38","51914","0.0-5.0-3.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","39","52421","0.0-5.0-1.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","40","55641","0.0-5.0-2.11","","3218","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","41","55897","0.0-5.0-3.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","42","56404","0.0-5.0-1.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","43","59284","0.0-5.0-2.12","","2878","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","44","59540","0.0-5.0-3.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","45","60044","0.0-5.0-1.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","46","63022","0.0-5.0-2.13","","2974","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12","NOW"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","47","63278","0.0-5.0-3.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","48","63782","0.0-5.0-1.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","49","65001","0.0-5.0-2.14","","1217","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12","NOW"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","50","65258","0.0-5.0-3.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_td","Sun Mar 26 2023 09:27:28 GMT-0700 (Pacific Daylight Time)","91535","html-keyboard-response","51","65765","0.0-5.0-1.15","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
