"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","success","stimulus","key_press","trialtype","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"html-keyboard-response","27","38795","0.0-5.0-2.7","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1226","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3","THEN"
"html-keyboard-response","28","39048","0.0-5.0-3.7","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3",""
"html-keyboard-response","29","39550","0.0-5.0-1.8","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","30","40969","0.0-5.0-2.8","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1417","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6","THEN"
"html-keyboard-response","31","41222","0.0-5.0-3.8","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6",""
"html-keyboard-response","32","41725","0.0-5.0-1.9","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","33","42856","0.0-5.0-2.9","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1129","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12","NOW"
"html-keyboard-response","34","43109","0.0-5.0-3.9","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12",""
"html-keyboard-response","35","43612","0.0-5.0-1.10","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","36","45865","0.0-5.0-2.10","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","2251","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","THEN"
"html-keyboard-response","37","46118","0.0-5.0-3.10","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"html-keyboard-response","38","46620","0.0-5.0-1.11","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","39","48217","0.0-5.0-2.11","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1595","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","THEN"
"html-keyboard-response","40","48470","0.0-5.0-3.11","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6",""
"html-keyboard-response","41","48971","0.0-5.0-1.12","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","42","50065","0.0-5.0-2.12","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1092","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
"html-keyboard-response","43","50319","0.0-5.0-3.12","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3",""
"html-keyboard-response","44","50821","0.0-5.0-1.13","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","45","52464","0.0-5.0-2.13","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1640","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12","THEN"
"html-keyboard-response","46","52719","0.0-5.0-3.13","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12",""
"html-keyboard-response","47","53220","0.0-5.0-1.14","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","48","54317","0.0-5.0-2.14","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","1095","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3","THEN"
"html-keyboard-response","49","54570","0.0-5.0-3.14","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3",""
"html-keyboard-response","50","55072","0.0-5.0-1.15","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","51","55857","0.0-5.0-2.15","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","783","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"html-keyboard-response","52","56108","0.0-5.0-3.15","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"html-keyboard-response","53","56610","0.0-5.0-1.16","63e51ddb19fccd05514c629c","bdp_td","Tue Mar 28 2023 18:29:54 GMT-0700 (Pacific Daylight Time)","79242","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
