"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","14","274327","0.0-5.0-3.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","15","274835","0.0-5.0-1.3","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","16","276100","0.0-5.0-2.3","","","1265","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","17","276359","0.0-5.0-3.3","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","18","276867","0.0-5.0-1.4","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","19","282690","0.0-5.0-2.4","","","5823","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3","NOW"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","20","282951","0.0-5.0-3.4","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","21","283460","0.0-5.0-1.5","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","22","284768","0.0-5.0-2.5","","","1308","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","NOW"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","23","285030","0.0-5.0-3.5","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","24","285542","0.0-5.0-1.6","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","25","286886","0.0-5.0-2.6","","","1344","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","26","287145","0.0-5.0-3.6","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","27","287652","0.0-5.0-1.7","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","28","288939","0.0-5.0-2.7","","","1287","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","29","289191","0.0-5.0-3.7","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","30","289701","0.0-5.0-1.8","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","31","291091","0.0-5.0-2.8","","","1390","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","32","291352","0.0-5.0-3.8","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","33","291860","0.0-5.0-1.9","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","34","293096","0.0-5.0-2.9","","","1235","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","35","293355","0.0-5.0-3.9","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","36","293863","0.0-5.0-1.10","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","37","295581","0.0-5.0-2.10","","","1717","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","38","295834","0.0-5.0-3.10","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","39","296341","0.0-5.0-1.11","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","40","297314","0.0-5.0-2.11","","","972","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","41","297572","0.0-5.0-3.11","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","42","298081","0.0-5.0-1.12","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","43","300275","0.0-5.0-2.12","","","2194","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12","NOW"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","44","300541","0.0-5.0-3.12","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","45","301049","0.0-5.0-1.13","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","46","303315","0.0-5.0-2.13","","","2264","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$40<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6","NOW"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","47","303570","0.0-5.0-3.13","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","48","304078","0.0-5.0-1.14","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","49","305195","0.0-5.0-2.14","","","1117","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$31<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31<br><br>now","$85<br>in<br>1 week","1","31","85","1","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","50","305446","0.0-5.0-3.14","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$31<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31<br><br>now","$85<br>in<br>1 week","1","31","85","1",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","51","305953","0.0-5.0-1.15","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
