"event","trial","time","trialtype","subject_id","task","startTime","totalTime","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","8","101224","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","9","101728","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","10","103885","0.0-5.0-2.1","","2155","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","11","104152","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","12","104655","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","13","106740","0.0-5.0-2.2","","2084","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","14","107001","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","15","107513","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","16","109342","0.0-5.0-2.3","","1827","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$19<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br><br>now","$25<br>in<br>6 weeks","1","19","25","6","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","17","109602","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","1","19","25","6",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","18","110106","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","19","111673","0.0-5.0-2.4","","1566","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","20","111936","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","21","112438","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","22","113624","0.0-5.0-2.5","","1184","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","23","113881","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","24","114384","0.0-5.0-1.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","25","115656","0.0-5.0-2.6","","1271","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$28<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","26","115914","0.0-5.0-3.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","27","116424","0.0-5.0-1.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","28","118265","0.0-5.0-2.7","","1840","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","29","118516","0.0-5.0-3.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","30","119030","0.0-5.0-1.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","31","121018","0.0-5.0-2.8","","1986","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","32","121279","0.0-5.0-3.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","0","69","85","6",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","33","121794","0.0-5.0-1.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","34","122992","0.0-5.0-2.9","","1197","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$40<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","35","123244","0.0-5.0-3.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","36","123746","0.0-5.0-1.10","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","37","124023","0.0-5.0-2.10","","275","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","38","124277","0.0-5.0-3.10","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","39","124792","0.0-5.0-1.11","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","40","124958","0.0-5.0-2.11","","165","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","41","125212","0.0-5.0-3.11","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","42","125713","0.0-5.0-1.12","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","43","125849","0.0-5.0-2.12","","135","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12","THEN"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","44","126109","0.0-5.0-3.12","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","45","126610","0.0-5.0-1.13","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","46","126711","0.0-5.0-2.13","","100","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","47","126969","0.0-5.0-3.13","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","48","127485","0.0-5.0-1.14","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","49","127641","0.0-5.0-2.14","","155","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW"
"","","","offerFB","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","50","127900","0.0-5.0-3.14","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12",""
"","","","FIX","627ea14463f25dce42e73d51","bdp_td","Sun Mar 26 2023 12:56:00 GMT-0400 (Eastern Daylight Time)","151880","","html-keyboard-response","51","128407","0.0-5.0-1.15","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
