"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","7","60269","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","8","60771","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","9","63050","0.0-5.0-2.1","","2278","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","10","63302","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","11","63804","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","12","65383","0.0-5.0-2.2","","1578","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","13","65635","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","14","66137","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","15","67656","0.0-5.0-2.3","","1518","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","16","67908","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$69<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","17","68410","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","18","69287","0.0-5.0-2.4","","877","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","19","69539","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$41<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","20","70040","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","21","70516","0.0-5.0-2.5","","475","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","22","70768","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","23","71270","0.0-5.0-1.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","24","72044","0.0-5.0-2.6","","772","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$40<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","25","72296","0.0-5.0-3.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","26","72798","0.0-5.0-1.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","27","73533","0.0-5.0-2.7","","735","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","28","73785","0.0-5.0-3.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","29","74287","0.0-5.0-1.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","30","74933","0.0-5.0-2.8","","646","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31<br><br>now","$85<br>in<br>1 week","0","31","85","1","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","31","75185","0.0-5.0-3.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$31<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31<br><br>now","$85<br>in<br>1 week","0","31","85","1",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","32","75687","0.0-5.0-1.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","33","76197","0.0-5.0-2.9","","509","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","34","76450","0.0-5.0-3.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$33<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","35","76952","0.0-5.0-1.10","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","36","77601","0.0-5.0-2.10","","648","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","37","77852","0.0-5.0-3.10","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$14<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","38","78354","0.0-5.0-1.11","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","39","78844","0.0-5.0-2.11","","489","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","40","79095","0.0-5.0-3.11","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$19<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","41","79597","0.0-5.0-1.12","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","42","80099","0.0-5.0-2.12","","501","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br><br>now","$30<br>in<br>12 weeks","0","28","30","12","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","43","80351","0.0-5.0-3.12","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br><br>now","$30<br>in<br>12 weeks","0","28","30","12",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","44","80852","0.0-5.0-1.13","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","45","81490","0.0-5.0-2.13","","636","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","46","81742","0.0-5.0-3.13","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","47","82244","0.0-5.0-1.14","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","48","82959","0.0-5.0-2.14","","714","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6","NOW"
"","","","offerFB","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","49","83211","0.0-5.0-3.14","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6",""
"","","","FIX","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","50","83713","0.0-5.0-1.15","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5efc1d4ee23e2a011ded073e","bdp_td","Sun Apr 09 2023 15:39:45 GMT-0700 (Pacific Daylight Time)","100120","html-keyboard-response","51","84237","0.0-5.0-2.15","","524","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$60<br>in<br>12 weeks","0","54","60","12","NOW"
