"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","8","27127","0.0-5.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","9","27632","0.0-5.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","10","28948","0.0-5.0-2.1","","1313","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","11","29206","0.0-5.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","12","29712","0.0-5.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","13","32970","0.0-5.0-2.2","","3254","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","14","33228","0.0-5.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","15","33735","0.0-5.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","16","35268","0.0-5.0-2.3","","1530","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","17","35526","0.0-5.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","18","36033","0.0-5.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","19","37313","0.0-5.0-2.4","","1275","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","20","37569","0.0-5.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br><br>now","$30<br>in<br>2 weeks","0","11","30","2",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","21","38077","0.0-5.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","22","39621","0.0-5.0-2.5","","1543","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","23","39879","0.0-5.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","24","40386","0.0-5.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","25","41697","0.0-5.0-2.6","","1309","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","26","41955","0.0-5.0-3.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","27","42458","0.0-5.0-1.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","28","44327","0.0-5.0-2.7","","1865","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$19<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br><br>now","$25<br>in<br>6 weeks","1","19","25","6","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","29","44584","0.0-5.0-3.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$19<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","1","19","25","6",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","30","45089","0.0-5.0-1.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","31","47332","0.0-5.0-2.8","","2241","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","32","47590","0.0-5.0-3.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","33","48097","0.0-5.0-1.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","34","49028","0.0-5.0-2.9","","929","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","35","49284","0.0-5.0-3.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","36","49790","0.0-5.0-1.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","37","50740","0.0-5.0-2.10","","948","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","38","50997","0.0-5.0-3.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$27<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","1","27","50","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","39","51502","0.0-5.0-1.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","40","55704","0.0-5.0-2.11","","4201","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","41","55961","0.0-5.0-3.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","42","56471","0.0-5.0-1.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","43","57622","0.0-5.0-2.12","","1149","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","44","57874","0.0-5.0-3.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","45","58381","0.0-5.0-1.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","46","59026","0.0-5.0-2.13","","642","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","47","59284","0.0-5.0-3.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","48","59788","0.0-5.0-1.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","49","60974","0.0-5.0-2.14","","1185","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3","THEN"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","50","61231","0.0-5.0-3.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_td","Mon Mar 27 2023 15:46:31 GMT-0400 (Eastern Daylight Time)","81767","html-keyboard-response","51","61734","0.0-5.0-1.15","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
