"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","10","57668","0.0-5.0-2.1","","","980","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$31<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31<br><br>now","$85<br>in<br>1 week","1","31","85","1","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","11","57920","0.0-5.0-3.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$31<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31<br><br>now","$85<br>in<br>1 week","1","31","85","1",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","12","58422","0.0-5.0-1.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","13","66167","0.0-5.0-2.2","","","7742","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","14","66424","0.0-5.0-3.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","15","66928","0.0-5.0-1.3","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","16","68546","0.0-5.0-2.3","","","1615","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$11<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br><br>now","$30<br>in<br>2 weeks","1","11","30","2","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","17","68800","0.0-5.0-3.3","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$11<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11<br><br>now","$30<br>in<br>2 weeks","1","11","30","2",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","18","69302","0.0-5.0-1.4","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","19","71973","0.0-5.0-2.4","","","2668","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","20","72225","0.0-5.0-3.4","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","1","54","80","3",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","21","72726","0.0-5.0-1.5","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","22","74850","0.0-5.0-2.5","","","2122","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$49<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","23","75102","0.0-5.0-3.5","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$49<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","24","75604","0.0-5.0-1.6","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","25","78481","0.0-5.0-2.6","","","2876","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$67<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","26","78735","0.0-5.0-3.6","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br><br>now","$75<br>in<br>12 weeks","1","67","75","12",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","27","79235","0.0-5.0-1.7","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","28","83183","0.0-5.0-2.7","","","3945","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","29","83436","0.0-5.0-3.7","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","30","83937","0.0-5.0-1.8","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","31","86379","0.0-5.0-2.8","","","2440","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","32","86632","0.0-5.0-3.8","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","33","87135","0.0-5.0-1.9","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","34","88862","0.0-5.0-2.9","","","1726","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","35","89115","0.0-5.0-3.9","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","36","89617","0.0-5.0-1.10","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","37","94221","0.0-5.0-2.10","","","4603","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","38","94474","0.0-5.0-3.10","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","39","94977","0.0-5.0-1.11","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","40","96912","0.0-5.0-2.11","","","1934","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","41","97166","0.0-5.0-3.11","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$14<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","1","14","25","3",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","42","97669","0.0-5.0-1.12","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","43","100838","0.0-5.0-2.12","","","3167","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","THEN"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","44","101092","0.0-5.0-3.12","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","45","101595","0.0-5.0-1.13","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","46","103308","0.0-5.0-2.13","","","1711","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$22<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","47","103559","0.0-5.0-3.13","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","1","22","25","12",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","48","104061","0.0-5.0-1.14","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","49","106036","0.0-5.0-2.14","","","1973","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12","NOW"
"","","","offerFB","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","50","106287","0.0-5.0-3.14","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12",""
"","","","FIX","63d43dc4b4b7a0e426a381cd","bdp_td","Sun Mar 26 2023 17:26:58 GMT-0700 (Pacific Daylight Time)","151764","html-keyboard-response","51","106789","0.0-5.0-1.15","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
