"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","9","54758","0.0-6.0-2.1","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","10","55098","0.0-6.0-1.2","","237","","trustrating_stim/white_mw012.bmp","7","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","11","55298","0.0-6.0-2.2","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","12","55684","0.0-6.0-1.3","","284","","trustrating_stim/white_mw046.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","13","55884","0.0-6.0-2.3","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","14","56210","0.0-6.0-1.4","","224","","trustrating_stim/white_mw082.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","15","56411","0.0-6.0-2.4","","null","","trustrating_stim/white_mw082.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","16","56687","0.0-6.0-1.5","","175","","trustrating_stim/white_mw043.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","17","56889","0.0-6.0-2.5","","null","","trustrating_stim/white_mw043.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","18","57088","0.0-6.0-1.6","","98","","trustrating_stim/white_mw025.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","19","57288","0.0-6.0-2.6","","null","","trustrating_stim/white_mw025.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","20","57452","0.0-6.0-1.7","","62","","trustrating_stim/white_mw004.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","21","57653","0.0-6.0-2.7","","null","","trustrating_stim/white_mw004.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","22","57911","0.0-6.0-1.8","","158","","trustrating_stim/white_mw080.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","23","58113","0.0-6.0-2.8","","null","","trustrating_stim/white_mw080.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","24","58293","0.0-6.0-1.9","","80","","trustrating_stim/white_mw040.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","25","58494","0.0-6.0-2.9","","null","","trustrating_stim/white_mw040.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","26","58664","0.0-6.0-1.10","","70","","trustrating_stim/white_00960_960627_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","27","58865","0.0-6.0-2.10","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","28","59025","0.0-6.0-1.11","","59","","trustrating_stim/white_00761_941201_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","29","59227","0.0-6.0-2.11","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","30","59379","0.0-6.0-1.12","","52","","trustrating_stim/white_mw066.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","31","59581","0.0-6.0-2.12","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","32","59741","0.0-6.0-1.13","","59","","trustrating_stim/white_mw051.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","33","59942","0.0-6.0-2.13","","null","","trustrating_stim/white_mw051.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","34","60101","0.0-6.0-1.14","","58","","trustrating_stim/white_mw019.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","35","60302","0.0-6.0-2.14","","null","","trustrating_stim/white_mw019.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","36","60467","0.0-6.0-1.15","","63","","trustrating_stim/white_00120_931230_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","37","60668","0.0-6.0-2.15","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","38","60842","0.0-6.0-1.16","","72","","trustrating_stim/white_mw071.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","39","61042","0.0-6.0-2.16","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","40","61215","0.0-6.0-1.17","","72","","trustrating_stim/white_mw085.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","41","61417","0.0-6.0-2.17","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","42","61592","0.0-6.0-1.18","","73","","trustrating_stim/white_00253_940128_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","43","61792","0.0-6.0-2.18","","null","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","44","61958","0.0-6.0-1.19","","65","","trustrating_stim/white_00657_941121_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","45","62159","0.0-6.0-2.19","","null","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","46","62325","0.0-6.0-1.20","","65","","trustrating_stim/white_mw035.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","47","62527","0.0-6.0-2.20","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","48","62686","0.0-6.0-1.21","","57","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","49","62887","0.0-6.0-2.21","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","50","63038","0.0-6.0-1.22","","51","","trustrating_stim/white_mw058.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","51","63239","0.0-6.0-2.22","","null","","trustrating_stim/white_mw058.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","52","63407","0.0-6.0-1.23","","68","","trustrating_stim/white_mw006.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","53","63609","0.0-6.0-2.23","","null","","trustrating_stim/white_mw006.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","54","63788","0.0-6.0-1.24","","77","","trustrating_stim/white_00785_941205_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","55","63988","0.0-6.0-2.24","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","56","64175","0.0-6.0-1.25","","86","","trustrating_stim/white_mw089.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","57","64377","0.0-6.0-2.25","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","58","64527","0.0-6.0-1.26","","50","","trustrating_stim/white_00602_940928_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","59","64728","0.0-6.0-2.26","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","60","64923","0.0-6.0-1.27","","93","","trustrating_stim/white_mw022.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","61","65124","0.0-6.0-2.27","","null","","trustrating_stim/white_mw022.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","62","65394","0.0-6.0-1.28","","168","","trustrating_stim/white_mw099.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","63","65594","0.0-6.0-2.28","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","64","65799","0.0-6.0-1.29","","104","","trustrating_stim/white_00757_941201_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","65","66000","0.0-6.0-2.29","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","66","66231","0.0-6.0-1.30","","131","","trustrating_stim/white_mw054.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","67","66433","0.0-6.0-2.30","","null","","trustrating_stim/white_mw054.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","68","66678","0.0-6.0-1.31","","144","","trustrating_stim/white_mw044.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","69","66878","0.0-6.0-2.31","","null","","trustrating_stim/white_mw044.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","70","67111","0.0-6.0-1.32","","133","","trustrating_stim/white_mw057.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","71","67313","0.0-6.0-2.32","","null","","trustrating_stim/white_mw057.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","72","67537","0.0-6.0-1.33","","124","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","73","67738","0.0-6.0-2.33","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","74","67977","0.0-6.0-1.34","","139","","trustrating_stim/white_00897_960530_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","75","68179","0.0-6.0-2.34","","null","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","76","68402","0.0-6.0-1.35","","121","","trustrating_stim/white_00658_941121_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","77","68602","0.0-6.0-2.35","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","78","68819","0.0-6.0-1.36","","117","","trustrating_stim/white_mw016.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","79","69021","0.0-6.0-2.36","","null","","trustrating_stim/white_mw016.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","80","69240","0.0-6.0-1.37","","119","","trustrating_stim/white_mw013.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","81","69440","0.0-6.0-2.37","","null","","trustrating_stim/white_mw013.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","82","69703","0.0-6.0-1.38","","163","","trustrating_stim/white_mw097.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","83","69904","0.0-6.0-2.38","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","84","70156","0.0-6.0-1.39","","151","","trustrating_stim/white_mw072.bmp","5","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","85","70357","0.0-6.0-2.39","","null","","trustrating_stim/white_mw072.bmp","null","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","instructions","86","71263","0.0-7.0","[{""page_index"":0,""viewing_time"":806}]","806","","","","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","instructions","87","85853","0.0-8.0","[{""page_index"":0,""viewing_time"":1473},{""page_index"":1,""viewing_time"":1360},{""page_index"":2,""viewing_time"":2825},{""page_index"":3,""viewing_time"":1193},{""page_index"":4,""viewing_time"":1261},{""page_index"":5,""viewing_time"":1062},{""page_index"":6,""viewing_time"":5313}]","14487","","","","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","html-keyboard-response","88","88099","0.0-9.0","","2245","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","A","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","html-keyboard-response","89","88999","0.0-10.0","","800","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p style='color:#FF0000'>a) 0</p><p>b) 1</p><p>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
