"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","16","29714","0.0-5.0-2.3","","962","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$23<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$8","$23","1","8","23","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","17","29971","0.0-5.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$23<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$8","$23","1","8","23",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","18","30478","0.0-5.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","19","31203","0.0-5.0-2.4","","723","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$64<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$64","1","2","64","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","20","31461","0.0-5.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$64<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$64","1","2","64",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","21","31967","0.0-5.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","22","34100","0.0-5.0-2.5","","2132","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$66<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33","$66","0","33","66","SURE"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","23","34355","0.0-5.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$33<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$66<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33","$66","0","33","66",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","24","34862","0.0-5.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","25","36427","0.0-5.0-2.6","","1563","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$5","$16","1","5","16","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","26","36685","0.0-5.0-3.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$16<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$5","$16","1","5","16",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","27","37190","0.0-5.0-1.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","28","38205","0.0-5.0-2.7","","1011","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15","$31","1","15","31","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","29","38461","0.0-5.0-3.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$31<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15","$31","1","15","31",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","30","38968","0.0-5.0-1.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","31","39690","0.0-5.0-2.8","","720","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$13","$24","0","13","24","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","32","39946","0.0-5.0-3.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$13","$24","0","13","24",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","33","40453","0.0-5.0-1.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","34","42104","0.0-5.0-2.9","","1648","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22","$59","0","22","59","SURE"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","35","42361","0.0-5.0-3.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$59<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22","$59","0","22","59",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","36","42865","0.0-5.0-1.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","37","45859","0.0-5.0-2.10","","2991","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$9","$18","1","9","18","SURE"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","38","46117","0.0-5.0-3.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$9<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$9","$18","1","9","18",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","39","46627","0.0-5.0-1.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","40","48065","0.0-5.0-2.11","","1436","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$19","0","10","19","SURE"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","41","48321","0.0-5.0-3.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$10<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$19","0","10","19",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","42","48828","0.0-5.0-1.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","43","50201","0.0-5.0-2.12","","1371","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$47<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27","$47","0","27","47","SURE"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","44","50453","0.0-5.0-3.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$27<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$47<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27","$47","0","27","47",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","45","50960","0.0-5.0-1.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","46","52047","0.0-5.0-2.13","","1086","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$11<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$4","$11","0","4","11","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","47","52300","0.0-5.0-3.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$11<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$4","$11","0","4","11",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","48","52806","0.0-5.0-1.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","49","54209","0.0-5.0-2.14","","1399","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$27<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$27","0","12","27","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","50","54463","0.0-5.0-3.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$27<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$27","0","12","27",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","51","54969","0.0-5.0-1.15","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","52","56328","0.0-5.0-2.15","","1358","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$48<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34","$48","1","34","48","RISKY"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_rd","Mon Mar 27 2023 15:47:56 GMT-0400 (Eastern Daylight Time)","147181","html-keyboard-response","53","56584","0.0-5.0-3.15","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$48<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34","$48","1","34","48",""
