"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","14","23552","0.0-5.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$21<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$21","$25","1","21","25",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","15","24058","0.0-5.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","16","25138","0.0-5.0-2.3","","1078","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$12","$35","0","12","35","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","17","25398","0.0-5.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$12<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$12","$35","0","12","35",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","18","25903","0.0-5.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","19","26985","0.0-5.0-2.4","","1078","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$26","1","11","26","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","20","27241","0.0-5.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$11<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11","$26","1","11","26",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","21","27749","0.0-5.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","22","28906","0.0-5.0-2.5","","1156","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$58<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$58","$69","1","58","69","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","23","29165","0.0-5.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$58<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$58","$69","1","58","69",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","24","29670","0.0-5.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","25","30234","0.0-5.0-2.6","","561","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$38","1","16","38","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","26","30491","0.0-5.0-3.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$38","1","16","38",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","27","30998","0.0-5.0-1.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","28","31574","0.0-5.0-2.7","","575","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31","$78","1","31","78","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","29","31831","0.0-5.0-3.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$31<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31","$78","1","31","78",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","30","32334","0.0-5.0-1.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","31","32878","0.0-5.0-2.8","","543","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15","$34","1","15","34","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","32","33136","0.0-5.0-3.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15","$34","1","15","34",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","33","33643","0.0-5.0-1.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","34","35265","0.0-5.0-2.9","","1617","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$33<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$1","$33","0","1","33","RISKY"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","35","35522","0.0-5.0-3.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$33<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$1","$33","0","1","33",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","36","36029","0.0-5.0-1.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","37","36984","0.0-5.0-2.10","","953","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$44<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$37<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$37","$44","1","37","44","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","38","37242","0.0-5.0-3.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$44<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$37<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$37","$44","1","37","44",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","39","37748","0.0-5.0-1.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","40","38527","0.0-5.0-2.11","","775","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$63","$100","1","63","10","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","41","38786","0.0-5.0-3.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$63<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$63","$100","1","63","10",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","42","39290","0.0-5.0-1.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","43","40392","0.0-5.0-2.12","","1100","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$7","$10","0","7","10","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","44","40649","0.0-5.0-3.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$7<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$7","$10","0","7","10",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","45","41152","0.0-5.0-1.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","46","42689","0.0-5.0-2.13","","1533","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$68<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$30","$68","0","30","68","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","47","42946","0.0-5.0-3.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$68<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$30","$68","0","30","68",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","48","43453","0.0-5.0-1.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","49","44015","0.0-5.0-2.14","","561","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$13","$24","1","13","24","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","50","44272","0.0-5.0-3.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$13<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$13","$24","1","13","24",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","51","44778","0.0-5.0-1.15","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","52","45456","0.0-5.0-2.15","","676","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$65<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$46<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$46","$65","1","46","65","SURE"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_rd","Sun Mar 26 2023 09:30:41 GMT-0700 (Pacific Daylight Time)","123938","html-keyboard-response","53","45712","0.0-5.0-3.15","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$65<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$46<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$46","$65","1","46","65",""
