"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"html-keyboard-response","51","159881","0.0-5.0-2.15","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1961","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$44<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$37<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$37","$44","1","37","44","SURE"
"html-keyboard-response","52","160136","0.0-5.0-3.15","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$44<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$37<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$37","$44","1","37","44",""
"html-keyboard-response","53","160639","0.0-5.0-1.16","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","54","163278","0.0-5.0-2.16","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2635","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$14<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$4","$14","0","4","14","RISKY"
"html-keyboard-response","55","163532","0.0-5.0-3.16","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$14<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$4","$14","0","4","14",""
"html-keyboard-response","56","164036","0.0-5.0-1.17","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","57","165732","0.0-5.0-2.17","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1693","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$37<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20","$37","0","20","37","SURE"
"html-keyboard-response","58","165987","0.0-5.0-3.17","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$20<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$37<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20","$37","0","20","37",""
"html-keyboard-response","59","166490","0.0-5.0-1.18","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","60","168858","0.0-5.0-2.18","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2364","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$33<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$1","$33","0","1","33","RISKY"
"html-keyboard-response","61","169112","0.0-5.0-3.18","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$33<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$1","$33","0","1","33",""
"html-keyboard-response","62","169616","0.0-5.0-1.19","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","63","171468","0.0-5.0-2.19","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1849","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$29<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$29","$46","0","29","46","SURE"
"html-keyboard-response","64","171723","0.0-5.0-3.19","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$29<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$29","$46","0","29","46",""
"html-keyboard-response","65","172226","0.0-5.0-1.20","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","66","175362","0.0-5.0-2.20","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","3132","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$39","1","18","39","RISKY"
"html-keyboard-response","67","175617","0.0-5.0-3.20","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$39<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$39","1","18","39",""
"html-keyboard-response","68","176120","0.0-5.0-1.21","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","69","177948","0.0-5.0-2.21","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1825","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$5","$16","1","5","16","RISKY"
"html-keyboard-response","70","178202","0.0-5.0-3.21","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$16<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$5","$16","1","5","16",""
"html-keyboard-response","71","178706","0.0-5.0-1.22","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","72","180984","0.0-5.0-2.22","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2276","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$11<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$4","$11","0","4","11","RISKY"
"html-keyboard-response","73","181239","0.0-5.0-3.22","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$11<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$4","$11","0","4","11",""
"html-keyboard-response","74","181743","0.0-5.0-1.23","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","75","183663","0.0-5.0-2.23","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1917","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$62<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$62","0","11","62","RISKY"
"html-keyboard-response","76","183917","0.0-5.0-3.23","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$62<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11","$62","0","11","62",""
"html-keyboard-response","77","184421","0.0-5.0-1.24","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","78","185977","0.0-5.0-2.24","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1554","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$51<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19","$51","0","19","51","RISKY"
"html-keyboard-response","79","186232","0.0-5.0-3.24","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$51<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19","$51","0","19","51",""
"html-keyboard-response","80","186736","0.0-5.0-1.25","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","81","187848","0.0-5.0-2.25","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1109","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$12","$35","1","12","35","RISKY"
"html-keyboard-response","82","188102","0.0-5.0-3.25","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$12","$35","1","12","35",""
"html-keyboard-response","83","188606","0.0-5.0-1.26","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","84","190706","0.0-5.0-2.26","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","2097","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$22<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14","$22","0","14","22","RISKY"
"html-keyboard-response","85","190961","0.0-5.0-3.26","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14","$22","0","14","22",""
"html-keyboard-response","86","191465","0.0-5.0-1.27","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","87","193090","0.0-5.0-2.27","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1623","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11","$26","1","11","26","RISKY"
"html-keyboard-response","88","193345","0.0-5.0-3.27","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$26<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11","$26","1","11","26",""
"html-keyboard-response","89","193849","0.0-5.0-1.28","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","90","195047","0.0-5.0-2.28","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1195","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$23<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$8","$23","1","8","23","RISKY"
"html-keyboard-response","91","195301","0.0-5.0-3.28","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$23<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$8","$23","1","8","23",""
"html-keyboard-response","92","195804","0.0-5.0-1.29","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","93","197321","0.0-5.0-2.29","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1514","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31","$78","1","31","78","RISKY"
"html-keyboard-response","94","197575","0.0-5.0-3.29","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31","$78","1","31","78",""
"html-keyboard-response","95","198080","0.0-5.0-1.30","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","96","199524","0.0-5.0-2.30","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1441","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$66<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33","$66","0","33","66","RISKY"
"html-keyboard-response","97","199778","0.0-5.0-3.30","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$66<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33","$66","0","33","66",""
"html-keyboard-response","98","200282","0.0-5.0-1.31","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","99","201348","0.0-5.0-2.31","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1063","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$13","$41","1","13","41","RISKY"
"html-keyboard-response","100","201603","0.0-5.0-3.31","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$41<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$13","$41","1","13","41",""
"html-keyboard-response","101","202108","0.0-5.0-1.32","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","102","203215","0.0-5.0-2.32","6362aca86b740b1ec4cb6efb","bdp_rd","Mon Mar 27 2023 16:46:57 GMT-0400 (Eastern Daylight Time)","273595","","1104","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$43<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$17<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$17","$43","1","17","43","RISKY"
