"event","trial","time","trialtype","subject_id","task","startTime","totalTime","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","17","104164","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$27<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$47<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27","$47","0","27","47",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","18","104678","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","19","105672","0.0-5.0-2.4","","993","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25","$54","0","25","54","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","20","105925","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25","$54","0","25","54",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","21","106434","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","22","107137","0.0-5.0-2.5","","701","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$7","$10","0","7","10","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","23","107397","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$7<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$7","$10","0","7","10",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","24","107912","0.0-5.0-1.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","25","110105","0.0-5.0-2.6","","2192","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$27","1","12","27","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","26","110355","0.0-5.0-3.6","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$12<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$27","1","12","27",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","27","110867","0.0-5.0-1.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","28","112146","0.0-5.0-2.7","","1278","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$23<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$8","$23","1","8","23","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","29","112398","0.0-5.0-3.7","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$23<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$8<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$8","$23","1","8","23",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","30","112899","0.0-5.0-1.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","31","114931","0.0-5.0-2.8","","2030","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$71<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$7","$71","1","7","71","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","32","115190","0.0-5.0-3.8","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$71<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$7<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$7","$71","1","7","71",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","33","115694","0.0-5.0-1.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","34","116721","0.0-5.0-2.9","","1025","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$35","1","12","35","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","35","116984","0.0-5.0-3.9","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$12<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$35","1","12","35",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","36","117499","0.0-5.0-1.10","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","37","118434","0.0-5.0-2.10","","933","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$28","1","16","28","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","38","118700","0.0-5.0-3.10","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$28","1","16","28",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","39","119214","0.0-5.0-1.11","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","40","119762","0.0-5.0-2.11","","546","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$92<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$26","$92","0","26","92","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","41","120021","0.0-5.0-3.11","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$92<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$26","$92","0","26","92",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","42","120534","0.0-5.0-1.12","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","43","121483","0.0-5.0-2.12","","947","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$15<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$6","$15","0","6","15","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","44","121747","0.0-5.0-3.12","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$6<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$15<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$6","$15","0","6","15",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","45","122264","0.0-5.0-1.13","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","46","123314","0.0-5.0-2.13","","1049","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$1","$33","1","1","33","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","47","123569","0.0-5.0-3.13","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$1<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$1","$33","1","1","33",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","48","124083","0.0-5.0-1.14","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","49","126699","0.0-5.0-2.14","","2616","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$45","$86","0","45","86","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","50","126951","0.0-5.0-3.14","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$86<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$45","$86","0","45","86",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","51","127464","0.0-5.0-1.15","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","52","128890","0.0-5.0-2.15","","1426","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$29<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$29","$46","0","29","46","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","53","129152","0.0-5.0-3.15","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$29<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$29","$46","0","29","46",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","54","129664","0.0-5.0-1.16","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
