"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","29","85189","0.0-5.0-2.11","","","","","","","214","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":56},{""stimulus"":""img/red_ll/2.jpg"",""time"":108},{""stimulus"":""img/red_ll/3.jpg"",""time"":160},{""stimulus"":""img/red_ll/4.jpg"",""time"":213},{""stimulus"":""img/red_ll/5.jpg"",""time"":268},{""stimulus"":""img/red_ll/6.jpg"",""time"":322},{""stimulus"":""img/red_ll/7.jpg"",""time"":376},{""stimulus"":""img/red_ll/8.jpg"",""time"":428},{""stimulus"":""img/red_ll/9.jpg"",""time"":482},{""stimulus"":""img/red_ll/10.jpg"",""time"":535},{""stimulus"":""img/red_ll/11.jpg"",""time"":591}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","30","85838","0.0-5.0-1.12","","647","","","img/red_ll/choose11.jpg","1","213","green","0.5","0.5","0.5","l","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","31","86477","0.0-5.0-2.12","","","","","","","213","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":53},{""stimulus"":""img/green_ll/2.jpg"",""time"":104},{""stimulus"":""img/green_ll/3.jpg"",""time"":160},{""stimulus"":""img/green_ll/4.jpg"",""time"":213},{""stimulus"":""img/green_ll/5.jpg"",""time"":267},{""stimulus"":""img/green_ll/6.jpg"",""time"":320},{""stimulus"":""img/green_ll/7.jpg"",""time"":371},{""stimulus"":""img/green_ll/8.jpg"",""time"":426},{""stimulus"":""img/green_ll/9.jpg"",""time"":477},{""stimulus"":""img/green_ll/10.jpg"",""time"":533},{""stimulus"":""img/green_ll/11.jpg"",""time"":588}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","32","86897","0.0-5.0-1.13","","418","","","img/green_ll/choose11.jpg","2","212","red","0.5","0.5","0.5","w","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","33","87546","0.0-5.0-2.13","","","","","","","212","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":56},{""stimulus"":""img/red_lw/2.jpg"",""time"":106},{""stimulus"":""img/red_lw/3.jpg"",""time"":162},{""stimulus"":""img/red_lw/4.jpg"",""time"":215},{""stimulus"":""img/red_lw/5.jpg"",""time"":268},{""stimulus"":""img/red_lw/6.jpg"",""time"":323},{""stimulus"":""img/red_lw/7.jpg"",""time"":378},{""stimulus"":""img/red_lw/8.jpg"",""time"":433},{""stimulus"":""img/red_lw/9.jpg"",""time"":488},{""stimulus"":""img/red_lw/10.jpg"",""time"":541},{""stimulus"":""img/red_lw/11.jpg"",""time"":596}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","34","89438","0.0-5.0-1.14","","1891","","","img/red_lw/choose11.jpg","1","211","green","0.5","0.5","0.5","w","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","35","90072","0.0-5.0-2.14","","","","","","","211","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":56},{""stimulus"":""img/green_ww/2.jpg"",""time"":109},{""stimulus"":""img/green_ww/3.jpg"",""time"":162},{""stimulus"":""img/green_ww/4.jpg"",""time"":215},{""stimulus"":""img/green_ww/5.jpg"",""time"":270},{""stimulus"":""img/green_ww/6.jpg"",""time"":324},{""stimulus"":""img/green_ww/7.jpg"",""time"":376},{""stimulus"":""img/green_ww/8.jpg"",""time"":430},{""stimulus"":""img/green_ww/9.jpg"",""time"":481},{""stimulus"":""img/green_ww/10.jpg"",""time"":533},{""stimulus"":""img/green_ww/11.jpg"",""time"":585}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","36","90633","0.0-5.0-1.15","","558","","","img/green_ww/choose11.jpg","2","210","red","0.5","0.5","0.5","l","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","37","91282","0.0-5.0-2.15","","","","","","","210","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":57},{""stimulus"":""img/red_wl/2.jpg"",""time"":111},{""stimulus"":""img/red_wl/3.jpg"",""time"":167},{""stimulus"":""img/red_wl/4.jpg"",""time"":221},{""stimulus"":""img/red_wl/5.jpg"",""time"":275},{""stimulus"":""img/red_wl/6.jpg"",""time"":327},{""stimulus"":""img/red_wl/7.jpg"",""time"":380},{""stimulus"":""img/red_wl/8.jpg"",""time"":434},{""stimulus"":""img/red_wl/9.jpg"",""time"":488},{""stimulus"":""img/red_wl/10.jpg"",""time"":542},{""stimulus"":""img/red_wl/11.jpg"",""time"":594}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","38","92872","0.0-5.0-1.16","","1588","","","img/red_wl/choose11.jpg","1","209","green","0.5","0.5","0.5","l","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","39","93513","0.0-5.0-2.16","","","","","","","209","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":52},{""stimulus"":""img/green_ll/2.jpg"",""time"":103},{""stimulus"":""img/green_ll/3.jpg"",""time"":158},{""stimulus"":""img/green_ll/4.jpg"",""time"":212},{""stimulus"":""img/green_ll/5.jpg"",""time"":266},{""stimulus"":""img/green_ll/6.jpg"",""time"":321},{""stimulus"":""img/green_ll/7.jpg"",""time"":370},{""stimulus"":""img/green_ll/8.jpg"",""time"":424},{""stimulus"":""img/green_ll/9.jpg"",""time"":478},{""stimulus"":""img/green_ll/10.jpg"",""time"":532},{""stimulus"":""img/green_ll/11.jpg"",""time"":586}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","40","94074","0.0-5.0-1.17","","559","","","img/green_ll/choose11.jpg","2","208","red","0.5","0.5","0.5","l","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","41","94714","0.0-5.0-2.17","","","","","","","208","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":56},{""stimulus"":""img/red_ll/2.jpg"",""time"":109},{""stimulus"":""img/red_ll/3.jpg"",""time"":160},{""stimulus"":""img/red_ll/4.jpg"",""time"":216},{""stimulus"":""img/red_ll/5.jpg"",""time"":268},{""stimulus"":""img/red_ll/6.jpg"",""time"":322},{""stimulus"":""img/red_ll/7.jpg"",""time"":376},{""stimulus"":""img/red_ll/8.jpg"",""time"":431},{""stimulus"":""img/red_ll/9.jpg"",""time"":486},{""stimulus"":""img/red_ll/10.jpg"",""time"":537},{""stimulus"":""img/red_ll/11.jpg"",""time"":590}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","42","96125","0.0-5.0-1.18","","1408","","","img/red_ll/choose11.jpg","1","207","green","0.5","0.5","0.5","w","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","43","96760","0.0-5.0-2.18","","","","","","","207","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":157},{""stimulus"":""img/green_wl/4.jpg"",""time"":210},{""stimulus"":""img/green_wl/5.jpg"",""time"":266},{""stimulus"":""img/green_wl/6.jpg"",""time"":316},{""stimulus"":""img/green_wl/7.jpg"",""time"":370},{""stimulus"":""img/green_wl/8.jpg"",""time"":421},{""stimulus"":""img/green_wl/9.jpg"",""time"":474},{""stimulus"":""img/green_wl/10.jpg"",""time"":530},{""stimulus"":""img/green_wl/11.jpg"",""time"":583}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","44","97559","0.0-5.0-1.19","","796","","","img/green_wl/choose11.jpg","2","206","red","0.5","0.5","0.5","w","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","45","98204","0.0-5.0-2.19","","","","","","","206","","","","","","[{""stimulus"":""img/red_ww/1.jpg"",""time"":55},{""stimulus"":""img/red_ww/2.jpg"",""time"":108},{""stimulus"":""img/red_ww/3.jpg"",""time"":162},{""stimulus"":""img/red_ww/4.jpg"",""time"":216},{""stimulus"":""img/red_ww/5.jpg"",""time"":270},{""stimulus"":""img/red_ww/6.jpg"",""time"":322},{""stimulus"":""img/red_ww/7.jpg"",""time"":376},{""stimulus"":""img/red_ww/8.jpg"",""time"":430},{""stimulus"":""img/red_ww/9.jpg"",""time"":481},{""stimulus"":""img/red_ww/10.jpg"",""time"":535},{""stimulus"":""img/red_ww/11.jpg"",""time"":589}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","46","99939","0.0-5.0-1.20","","1733","","","img/red_ww/choose11.jpg","1","205","green","0.5","0.5","0.5","w","",""
"","","","","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","animation","47","100588","0.0-5.0-2.20","","","","","","","205","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":57},{""stimulus"":""img/green_ww/2.jpg"",""time"":110},{""stimulus"":""img/green_ww/3.jpg"",""time"":166},{""stimulus"":""img/green_ww/4.jpg"",""time"":215},{""stimulus"":""img/green_ww/5.jpg"",""time"":272},{""stimulus"":""img/green_ww/6.jpg"",""time"":326},{""stimulus"":""img/green_ww/7.jpg"",""time"":380},{""stimulus"":""img/green_ww/8.jpg"",""time"":432},{""stimulus"":""img/green_ww/9.jpg"",""time"":487},{""stimulus"":""img/green_ww/10.jpg"",""time"":540},{""stimulus"":""img/green_ww/11.jpg"",""time"":595}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_lott","Mon Mar 27 2023 15:20:11 GMT-0400 (Eastern Daylight Time)","369620","red","green","image-keyboard-response","48","101655","0.0-5.0-1.21","","1066","","","img/green_ww/choose11.jpg","2","204","red","0.5","0.5","0.5","w","",""
