"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses","numBlurs"
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","27","144404","0.0-5.0-2.11","","","","","","214","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":204},{""stimulus"":""img/green_wl/5.jpg"",""time"":255},{""stimulus"":""img/green_wl/6.jpg"",""time"":306},{""stimulus"":""img/green_wl/7.jpg"",""time"":357},{""stimulus"":""img/green_wl/8.jpg"",""time"":408},{""stimulus"":""img/green_wl/9.jpg"",""time"":459},{""stimulus"":""img/green_wl/10.jpg"",""time"":511},{""stimulus"":""img/green_wl/11.jpg"",""time"":562}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","28","144765","0.0-5.0-1.12","","361","","img/green_wl/choose11.jpg","2","213","red","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","29","145379","0.0-5.0-2.12","","","","","","213","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":51},{""stimulus"":""img/red_wl/2.jpg"",""time"":102},{""stimulus"":""img/red_wl/3.jpg"",""time"":154},{""stimulus"":""img/red_wl/4.jpg"",""time"":205},{""stimulus"":""img/red_wl/5.jpg"",""time"":255},{""stimulus"":""img/red_wl/6.jpg"",""time"":306},{""stimulus"":""img/red_wl/7.jpg"",""time"":357},{""stimulus"":""img/red_wl/8.jpg"",""time"":408},{""stimulus"":""img/red_wl/9.jpg"",""time"":459},{""stimulus"":""img/red_wl/10.jpg"",""time"":511},{""stimulus"":""img/red_wl/11.jpg"",""time"":562}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","30","145758","0.0-5.0-1.13","","378","","img/red_wl/choose11.jpg","2","212","red","0.5","0.5","0.5","w","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","31","146371","0.0-5.0-2.13","","","","","","212","","","","","","[{""stimulus"":""img/red_ww/1.jpg"",""time"":52},{""stimulus"":""img/red_ww/2.jpg"",""time"":103},{""stimulus"":""img/red_ww/3.jpg"",""time"":154},{""stimulus"":""img/red_ww/4.jpg"",""time"":205},{""stimulus"":""img/red_ww/5.jpg"",""time"":255},{""stimulus"":""img/red_ww/6.jpg"",""time"":306},{""stimulus"":""img/red_ww/7.jpg"",""time"":357},{""stimulus"":""img/red_ww/8.jpg"",""time"":408},{""stimulus"":""img/red_ww/9.jpg"",""time"":459},{""stimulus"":""img/red_ww/10.jpg"",""time"":510},{""stimulus"":""img/red_ww/11.jpg"",""time"":562}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","32","147072","0.0-5.0-1.14","","701","","img/red_ww/choose11.jpg","2","211","red","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","33","147687","0.0-5.0-2.14","","","","","","211","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":52},{""stimulus"":""img/red_wl/2.jpg"",""time"":102},{""stimulus"":""img/red_wl/3.jpg"",""time"":154},{""stimulus"":""img/red_wl/4.jpg"",""time"":205},{""stimulus"":""img/red_wl/5.jpg"",""time"":256},{""stimulus"":""img/red_wl/6.jpg"",""time"":307},{""stimulus"":""img/red_wl/7.jpg"",""time"":358},{""stimulus"":""img/red_wl/8.jpg"",""time"":409},{""stimulus"":""img/red_wl/9.jpg"",""time"":460},{""stimulus"":""img/red_wl/10.jpg"",""time"":512},{""stimulus"":""img/red_wl/11.jpg"",""time"":563}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","34","148078","0.0-5.0-1.15","","390","","img/red_wl/choose11.jpg","2","210","red","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","35","148690","0.0-5.0-2.15","","","","","","210","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":52},{""stimulus"":""img/red_wl/2.jpg"",""time"":103},{""stimulus"":""img/red_wl/3.jpg"",""time"":153},{""stimulus"":""img/red_wl/4.jpg"",""time"":204},{""stimulus"":""img/red_wl/5.jpg"",""time"":254},{""stimulus"":""img/red_wl/6.jpg"",""time"":306},{""stimulus"":""img/red_wl/7.jpg"",""time"":357},{""stimulus"":""img/red_wl/8.jpg"",""time"":408},{""stimulus"":""img/red_wl/9.jpg"",""time"":459},{""stimulus"":""img/red_wl/10.jpg"",""time"":509},{""stimulus"":""img/red_wl/11.jpg"",""time"":560}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","36","149035","0.0-5.0-1.16","","344","","img/red_wl/choose11.jpg","1","209","green","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","37","149648","0.0-5.0-2.16","","","","","","209","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":103},{""stimulus"":""img/green_ll/3.jpg"",""time"":153},{""stimulus"":""img/green_ll/4.jpg"",""time"":204},{""stimulus"":""img/green_ll/5.jpg"",""time"":255},{""stimulus"":""img/green_ll/6.jpg"",""time"":305},{""stimulus"":""img/green_ll/7.jpg"",""time"":356},{""stimulus"":""img/green_ll/8.jpg"",""time"":408},{""stimulus"":""img/green_ll/9.jpg"",""time"":459},{""stimulus"":""img/green_ll/10.jpg"",""time"":510},{""stimulus"":""img/green_ll/11.jpg"",""time"":561}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","38","150092","0.0-5.0-1.17","","443","","img/green_ll/choose11.jpg","1","208","green","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","39","150704","0.0-5.0-2.17","","","","","","208","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":52},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":153},{""stimulus"":""img/green_ll/4.jpg"",""time"":204},{""stimulus"":""img/green_ll/5.jpg"",""time"":256},{""stimulus"":""img/green_ll/6.jpg"",""time"":307},{""stimulus"":""img/green_ll/7.jpg"",""time"":358},{""stimulus"":""img/green_ll/8.jpg"",""time"":409},{""stimulus"":""img/green_ll/9.jpg"",""time"":460},{""stimulus"":""img/green_ll/10.jpg"",""time"":510},{""stimulus"":""img/green_ll/11.jpg"",""time"":561}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","40","151051","0.0-5.0-1.18","","345","","img/green_ll/choose11.jpg","2","207","red","0.5","0.5","0.5","w","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","41","151663","0.0-5.0-2.18","","","","","","207","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":154},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":357},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":459},{""stimulus"":""img/red_lw/10.jpg"",""time"":510},{""stimulus"":""img/red_lw/11.jpg"",""time"":562}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","42","152613","0.0-5.0-1.19","","949","","img/red_lw/choose11.jpg","2","206","red","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","43","153225","0.0-5.0-2.19","","","","","","206","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":101},{""stimulus"":""img/red_ll/3.jpg"",""time"":151},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":305},{""stimulus"":""img/red_ll/7.jpg"",""time"":356},{""stimulus"":""img/red_ll/8.jpg"",""time"":407},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":509},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","44","153628","0.0-5.0-1.20","","402","","img/red_ll/choose11.jpg","2","205","red","0.5","0.5","0.5","w","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","45","154240","0.0-5.0-2.20","","","","","","205","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":254},{""stimulus"":""img/red_lw/6.jpg"",""time"":305},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":406},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":509},{""stimulus"":""img/red_lw/11.jpg"",""time"":560}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","46","154903","0.0-5.0-1.21","","663","","img/red_lw/choose11.jpg","1","204","green","0.5","0.5","0.5","l","","",""
"","","","","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","animation","47","155514","0.0-5.0-2.21","","","","","","204","","","","","","[{""stimulus"":""img/green_lw/1.jpg"",""time"":51},{""stimulus"":""img/green_lw/2.jpg"",""time"":101},{""stimulus"":""img/green_lw/3.jpg"",""time"":152},{""stimulus"":""img/green_lw/4.jpg"",""time"":202},{""stimulus"":""img/green_lw/5.jpg"",""time"":253},{""stimulus"":""img/green_lw/6.jpg"",""time"":304},{""stimulus"":""img/green_lw/7.jpg"",""time"":355},{""stimulus"":""img/green_lw/8.jpg"",""time"":406},{""stimulus"":""img/green_lw/9.jpg"",""time"":457},{""stimulus"":""img/green_lw/10.jpg"",""time"":508},{""stimulus"":""img/green_lw/11.jpg"",""time"":560}]","[]",""
"","","","choice","631bc422eec20143118ad66b","bdp_lott","Mon Mar 27 2023 12:38:45 GMT-0400 (Eastern Daylight Time)","341231","red","green","image-keyboard-response","48","156004","0.0-5.0-1.22","","489","","img/green_lw/choose11.jpg","1","203","green","0.5","0.5","0.5","w","","",""
