"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"animation","13","61509","0.0-5.0-2.3","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","222","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":53},{""stimulus"":""img/green_ll/2.jpg"",""time"":103},{""stimulus"":""img/green_ll/3.jpg"",""time"":154},{""stimulus"":""img/green_ll/4.jpg"",""time"":204},{""stimulus"":""img/green_ll/5.jpg"",""time"":256},{""stimulus"":""img/green_ll/6.jpg"",""time"":305},{""stimulus"":""img/green_ll/7.jpg"",""time"":356},{""stimulus"":""img/green_ll/8.jpg"",""time"":408},{""stimulus"":""img/green_ll/9.jpg"",""time"":458},{""stimulus"":""img/green_ll/10.jpg"",""time"":509},{""stimulus"":""img/green_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","14","63314","0.0-5.0-1.4","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1803","","","","choice","","img/green_ll/choose11.jpg","2","","221","red","0.5","0.5","0.5","l","",""
"animation","15","63922","0.0-5.0-2.4","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","221","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":152},{""stimulus"":""img/red_ll/4.jpg"",""time"":202},{""stimulus"":""img/red_ll/5.jpg"",""time"":253},{""stimulus"":""img/red_ll/6.jpg"",""time"":304},{""stimulus"":""img/red_ll/7.jpg"",""time"":355},{""stimulus"":""img/red_ll/8.jpg"",""time"":405},{""stimulus"":""img/red_ll/9.jpg"",""time"":456},{""stimulus"":""img/red_ll/10.jpg"",""time"":508},{""stimulus"":""img/red_ll/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","16","65156","0.0-5.0-1.5","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1233","","","","choice","","img/red_ll/choose11.jpg","2","","220","red","0.5","0.5","0.5","l","",""
"animation","17","65770","0.0-5.0-2.5","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","220","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":53},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":154},{""stimulus"":""img/red_ll/4.jpg"",""time"":205},{""stimulus"":""img/red_ll/5.jpg"",""time"":256},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":459},{""stimulus"":""img/red_ll/10.jpg"",""time"":510},{""stimulus"":""img/red_ll/11.jpg"",""time"":563}]","[]"
"image-keyboard-response","18","67505","0.0-5.0-1.6","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1732","","","","choice","","img/red_ll/choose11.jpg","1","","219","green","0.5","0.5","0.5","l","",""
"animation","19","68114","0.0-5.0-2.6","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","219","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":50},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":152},{""stimulus"":""img/green_ll/4.jpg"",""time"":204},{""stimulus"":""img/green_ll/5.jpg"",""time"":254},{""stimulus"":""img/green_ll/6.jpg"",""time"":306},{""stimulus"":""img/green_ll/7.jpg"",""time"":357},{""stimulus"":""img/green_ll/8.jpg"",""time"":408},{""stimulus"":""img/green_ll/9.jpg"",""time"":459},{""stimulus"":""img/green_ll/10.jpg"",""time"":509},{""stimulus"":""img/green_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","20","69435","0.0-5.0-1.7","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1318","","","","choice","","img/green_ll/choose11.jpg","1","","218","green","0.5","0.5","0.5","l","",""
"animation","21","70047","0.0-5.0-2.7","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","218","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":154},{""stimulus"":""img/green_ll/4.jpg"",""time"":204},{""stimulus"":""img/green_ll/5.jpg"",""time"":255},{""stimulus"":""img/green_ll/6.jpg"",""time"":307},{""stimulus"":""img/green_ll/7.jpg"",""time"":358},{""stimulus"":""img/green_ll/8.jpg"",""time"":408},{""stimulus"":""img/green_ll/9.jpg"",""time"":461},{""stimulus"":""img/green_ll/10.jpg"",""time"":510},{""stimulus"":""img/green_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","22","71133","0.0-5.0-1.8","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1079","","","","choice","","img/green_ll/choose11.jpg","2","","217","red","0.5","0.5","0.5","l","",""
"animation","23","71748","0.0-5.0-2.8","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","217","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":358},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":509},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","24","72618","0.0-5.0-1.9","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","869","","","","choice","","img/red_ll/choose11.jpg","1","","216","green","0.5","0.5","0.5","l","",""
"animation","25","73229","0.0-5.0-2.9","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","216","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":52},{""stimulus"":""img/green_ll/2.jpg"",""time"":104},{""stimulus"":""img/green_ll/3.jpg"",""time"":154},{""stimulus"":""img/green_ll/4.jpg"",""time"":203},{""stimulus"":""img/green_ll/5.jpg"",""time"":253},{""stimulus"":""img/green_ll/6.jpg"",""time"":304},{""stimulus"":""img/green_ll/7.jpg"",""time"":355},{""stimulus"":""img/green_ll/8.jpg"",""time"":406},{""stimulus"":""img/green_ll/9.jpg"",""time"":457},{""stimulus"":""img/green_ll/10.jpg"",""time"":507},{""stimulus"":""img/green_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","26","74085","0.0-5.0-1.10","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","851","","","","choice","","img/green_ll/choose11.jpg","2","","215","red","0.5","0.5","0.5","w","",""
"animation","27","74699","0.0-5.0-2.10","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","215","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":357},{""stimulus"":""img/red_lw/8.jpg"",""time"":409},{""stimulus"":""img/red_lw/9.jpg"",""time"":458},{""stimulus"":""img/red_lw/10.jpg"",""time"":510},{""stimulus"":""img/red_lw/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","28","76675","0.0-5.0-1.11","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1973","","","","choice","","img/red_lw/choose11.jpg","1","","214","green","0.5","0.5","0.5","w","",""
"animation","29","77286","0.0-5.0-2.11","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","214","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":51},{""stimulus"":""img/green_ww/2.jpg"",""time"":102},{""stimulus"":""img/green_ww/3.jpg"",""time"":153},{""stimulus"":""img/green_ww/4.jpg"",""time"":204},{""stimulus"":""img/green_ww/5.jpg"",""time"":254},{""stimulus"":""img/green_ww/6.jpg"",""time"":304},{""stimulus"":""img/green_ww/7.jpg"",""time"":356},{""stimulus"":""img/green_ww/8.jpg"",""time"":407},{""stimulus"":""img/green_ww/9.jpg"",""time"":459},{""stimulus"":""img/green_ww/10.jpg"",""time"":508},{""stimulus"":""img/green_ww/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","30","79123","0.0-5.0-1.12","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1835","","","","choice","","img/green_ww/choose11.jpg","1","","213","green","0.5","0.5","0.5","w","",""
"animation","31","79733","0.0-5.0-2.12","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","213","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":53},{""stimulus"":""img/green_ww/2.jpg"",""time"":103},{""stimulus"":""img/green_ww/3.jpg"",""time"":155},{""stimulus"":""img/green_ww/4.jpg"",""time"":205},{""stimulus"":""img/green_ww/5.jpg"",""time"":256},{""stimulus"":""img/green_ww/6.jpg"",""time"":306},{""stimulus"":""img/green_ww/7.jpg"",""time"":357},{""stimulus"":""img/green_ww/8.jpg"",""time"":407},{""stimulus"":""img/green_ww/9.jpg"",""time"":458},{""stimulus"":""img/green_ww/10.jpg"",""time"":509},{""stimulus"":""img/green_ww/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","32","81004","0.0-5.0-1.13","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1268","","","","choice","","img/green_ww/choose11.jpg","1","","212","green","0.5","0.5","0.5","w","",""
"animation","33","81615","0.0-5.0-2.13","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","212","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":50},{""stimulus"":""img/green_ww/2.jpg"",""time"":101},{""stimulus"":""img/green_ww/3.jpg"",""time"":151},{""stimulus"":""img/green_ww/4.jpg"",""time"":203},{""stimulus"":""img/green_ww/5.jpg"",""time"":253},{""stimulus"":""img/green_ww/6.jpg"",""time"":303},{""stimulus"":""img/green_ww/7.jpg"",""time"":354},{""stimulus"":""img/green_ww/8.jpg"",""time"":406},{""stimulus"":""img/green_ww/9.jpg"",""time"":456},{""stimulus"":""img/green_ww/10.jpg"",""time"":507},{""stimulus"":""img/green_ww/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","34","83506","0.0-5.0-1.14","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","1888","","","","choice","","img/green_ww/choose11.jpg","1","","211","green","0.5","0.5","0.5","w","",""
"animation","35","84116","0.0-5.0-2.14","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","211","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":50},{""stimulus"":""img/green_ww/2.jpg"",""time"":101},{""stimulus"":""img/green_ww/3.jpg"",""time"":152},{""stimulus"":""img/green_ww/4.jpg"",""time"":203},{""stimulus"":""img/green_ww/5.jpg"",""time"":253},{""stimulus"":""img/green_ww/6.jpg"",""time"":303},{""stimulus"":""img/green_ww/7.jpg"",""time"":354},{""stimulus"":""img/green_ww/8.jpg"",""time"":405},{""stimulus"":""img/green_ww/9.jpg"",""time"":457},{""stimulus"":""img/green_ww/10.jpg"",""time"":507},{""stimulus"":""img/green_ww/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","36","84994","0.0-5.0-1.15","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","875","","","","choice","","img/green_ww/choose11.jpg","1","","210","green","0.5","0.5","0.5","w","",""
"animation","37","85605","0.0-5.0-2.15","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","210","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":52},{""stimulus"":""img/green_ww/2.jpg"",""time"":103},{""stimulus"":""img/green_ww/3.jpg"",""time"":154},{""stimulus"":""img/green_ww/4.jpg"",""time"":205},{""stimulus"":""img/green_ww/5.jpg"",""time"":255},{""stimulus"":""img/green_ww/6.jpg"",""time"":306},{""stimulus"":""img/green_ww/7.jpg"",""time"":357},{""stimulus"":""img/green_ww/8.jpg"",""time"":407},{""stimulus"":""img/green_ww/9.jpg"",""time"":459},{""stimulus"":""img/green_ww/10.jpg"",""time"":510},{""stimulus"":""img/green_ww/11.jpg"",""time"":562}]","[]"
"image-keyboard-response","38","86540","0.0-5.0-1.16","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","933","","","","choice","","img/green_ww/choose11.jpg","1","","209","green","0.5","0.5","0.5","l","",""
"animation","39","87152","0.0-5.0-2.16","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","209","","","","","","[{""stimulus"":""img/green_lw/1.jpg"",""time"":53},{""stimulus"":""img/green_lw/2.jpg"",""time"":104},{""stimulus"":""img/green_lw/3.jpg"",""time"":153},{""stimulus"":""img/green_lw/4.jpg"",""time"":204},{""stimulus"":""img/green_lw/5.jpg"",""time"":255},{""stimulus"":""img/green_lw/6.jpg"",""time"":306},{""stimulus"":""img/green_lw/7.jpg"",""time"":356},{""stimulus"":""img/green_lw/8.jpg"",""time"":409},{""stimulus"":""img/green_lw/9.jpg"",""time"":459},{""stimulus"":""img/green_lw/10.jpg"",""time"":508},{""stimulus"":""img/green_lw/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","40","88051","0.0-5.0-1.17","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","899","","","","choice","","img/green_lw/choose11.jpg","2","","208","red","0.5","0.5","0.5","w","",""
"animation","41","88661","0.0-5.0-2.17","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","208","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":305},{""stimulus"":""img/red_lw/7.jpg"",""time"":357},{""stimulus"":""img/red_lw/8.jpg"",""time"":407},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":509},{""stimulus"":""img/red_lw/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","42","89387","0.0-5.0-1.18","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","724","","","","choice","","img/red_lw/choose11.jpg","2","","207","red","0.5","0.5","0.5","l","",""
"animation","43","89997","0.0-5.0-2.18","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","207","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":53},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":154},{""stimulus"":""img/red_ll/4.jpg"",""time"":205},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":305},{""stimulus"":""img/red_ll/7.jpg"",""time"":356},{""stimulus"":""img/red_ll/8.jpg"",""time"":407},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":509},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","44","90626","0.0-5.0-1.19","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","628","","","","choice","","img/red_ll/choose11.jpg","2","","206","red","0.5","0.5","0.5","l","",""
"animation","45","91236","0.0-5.0-2.19","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","206","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":152},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":305},{""stimulus"":""img/red_ll/7.jpg"",""time"":356},{""stimulus"":""img/red_ll/8.jpg"",""time"":407},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":508},{""stimulus"":""img/red_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","46","91682","0.0-5.0-1.20","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","445","","","","choice","","img/red_ll/choose11.jpg","2","","205","red","0.5","0.5","0.5","l","",""
"animation","47","92292","0.0-5.0-2.20","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","205","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":152},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":304},{""stimulus"":""img/red_ll/7.jpg"",""time"":355},{""stimulus"":""img/red_ll/8.jpg"",""time"":406},{""stimulus"":""img/red_ll/9.jpg"",""time"":457},{""stimulus"":""img/red_ll/10.jpg"",""time"":508},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]"
