"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","11","66604","0.0-5.0-1.3","","1092","","img/green_ll/choose11.jpg","2","222","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","12","67214","0.0-5.0-2.3","","","","","","222","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":100},{""stimulus"":""img/red_lw/3.jpg"",""time"":160},{""stimulus"":""img/red_lw/4.jpg"",""time"":207},{""stimulus"":""img/red_lw/5.jpg"",""time"":252},{""stimulus"":""img/red_lw/6.jpg"",""time"":315},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":407},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":503},{""stimulus"":""img/red_lw/11.jpg"",""time"":564}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","13","68266","0.0-5.0-1.4","","1051","","img/red_lw/choose11.jpg","2","221","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","14","68868","0.0-5.0-2.4","","","","","","221","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":110},{""stimulus"":""img/red_lw/3.jpg"",""time"":156},{""stimulus"":""img/red_lw/4.jpg"",""time"":202},{""stimulus"":""img/red_lw/5.jpg"",""time"":265},{""stimulus"":""img/red_lw/6.jpg"",""time"":311},{""stimulus"":""img/red_lw/7.jpg"",""time"":352},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":513},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","15","69322","0.0-5.0-1.5","","454","","img/red_lw/choose11.jpg","2","220","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","16","69932","0.0-5.0-2.5","","","","","","220","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":66},{""stimulus"":""img/red_lw/2.jpg"",""time"":112},{""stimulus"":""img/red_lw/3.jpg"",""time"":158},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":313},{""stimulus"":""img/red_lw/7.jpg"",""time"":361},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":454},{""stimulus"":""img/red_lw/10.jpg"",""time"":501},{""stimulus"":""img/red_lw/11.jpg"",""time"":563}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","17","70252","0.0-5.0-1.6","","320","","img/red_lw/choose11.jpg","2","219","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","18","70858","0.0-5.0-2.6","","","","","","219","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":50},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":151},{""stimulus"":""img/red_lw/4.jpg"",""time"":206},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":314},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":452},{""stimulus"":""img/red_lw/10.jpg"",""time"":514},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","19","71213","0.0-5.0-1.7","","352","","img/red_lw/choose11.jpg","2","218","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","20","71821","0.0-5.0-2.7","","","","","","218","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":159},{""stimulus"":""img/red_lw/4.jpg"",""time"":206},{""stimulus"":""img/red_lw/5.jpg"",""time"":253},{""stimulus"":""img/red_lw/6.jpg"",""time"":315},{""stimulus"":""img/red_lw/7.jpg"",""time"":362},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":454},{""stimulus"":""img/red_lw/10.jpg"",""time"":516},{""stimulus"":""img/red_lw/11.jpg"",""time"":563}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","21","72177","0.0-5.0-1.8","","355","","img/red_lw/choose11.jpg","2","217","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","22","72784","0.0-5.0-2.8","","","","","","217","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":109},{""stimulus"":""img/red_lw/3.jpg"",""time"":156},{""stimulus"":""img/red_lw/4.jpg"",""time"":202},{""stimulus"":""img/red_lw/5.jpg"",""time"":265},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":359},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":452},{""stimulus"":""img/red_lw/10.jpg"",""time"":515},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","23","73167","0.0-5.0-1.9","","381","","img/red_lw/choose11.jpg","2","216","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","24","73768","0.0-5.0-2.9","","","","","","216","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":67},{""stimulus"":""img/red_lw/2.jpg"",""time"":113},{""stimulus"":""img/red_lw/3.jpg"",""time"":154},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":252},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":352},{""stimulus"":""img/red_lw/8.jpg"",""time"":406},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":512},{""stimulus"":""img/red_lw/11.jpg"",""time"":560}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","25","74119","0.0-5.0-1.10","","351","","img/red_lw/choose11.jpg","2","215","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","26","74731","0.0-5.0-2.10","","","","","","215","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":165},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":256},{""stimulus"":""img/red_lw/6.jpg"",""time"":303},{""stimulus"":""img/red_lw/7.jpg"",""time"":365},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":504},{""stimulus"":""img/red_lw/11.jpg"",""time"":552}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","27","75079","0.0-5.0-1.11","","347","","img/red_lw/choose11.jpg","2","214","red","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","28","75691","0.0-5.0-2.11","","","","","","214","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":104},{""stimulus"":""img/red_ll/3.jpg"",""time"":165},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":258},{""stimulus"":""img/red_ll/6.jpg"",""time"":304},{""stimulus"":""img/red_ll/7.jpg"",""time"":365},{""stimulus"":""img/red_ll/8.jpg"",""time"":402},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":505},{""stimulus"":""img/red_ll/11.jpg"",""time"":567}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","29","76574","0.0-5.0-1.12","","882","","img/red_ll/choose11.jpg","1","213","green","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","30","77181","0.0-5.0-2.12","","","","","","213","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":108},{""stimulus"":""img/green_ll/3.jpg"",""time"":153},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":263},{""stimulus"":""img/green_ll/6.jpg"",""time"":309},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":466},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":560}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","31","77508","0.0-5.0-1.13","","325","","img/green_ll/choose11.jpg","2","212","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","32","78111","0.0-5.0-2.13","","","","","","212","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":107},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":216},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":402},{""stimulus"":""img/red_lw/9.jpg"",""time"":464},{""stimulus"":""img/red_lw/10.jpg"",""time"":511},{""stimulus"":""img/red_lw/11.jpg"",""time"":555}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","33","78442","0.0-5.0-1.14","","330","","img/red_lw/choose11.jpg","2","211","red","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","34","79056","0.0-5.0-2.14","","","","","","211","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":105},{""stimulus"":""img/red_ll/3.jpg"",""time"":166},{""stimulus"":""img/red_ll/4.jpg"",""time"":212},{""stimulus"":""img/red_ll/5.jpg"",""time"":260},{""stimulus"":""img/red_ll/6.jpg"",""time"":302},{""stimulus"":""img/red_ll/7.jpg"",""time"":351},{""stimulus"":""img/red_ll/8.jpg"",""time"":401},{""stimulus"":""img/red_ll/9.jpg"",""time"":452},{""stimulus"":""img/red_ll/10.jpg"",""time"":501},{""stimulus"":""img/red_ll/11.jpg"",""time"":567}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","35","83648","0.0-5.0-1.15","","4591","","img/red_ll/choose11.jpg","2","210","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","36","84251","0.0-5.0-2.15","","","","","","210","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":112},{""stimulus"":""img/red_lw/3.jpg"",""time"":158},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":313},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":402},{""stimulus"":""img/red_lw/9.jpg"",""time"":453},{""stimulus"":""img/red_lw/10.jpg"",""time"":516},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","37","84615","0.0-5.0-1.16","","362","","img/red_lw/choose11.jpg","2","209","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","38","85226","0.0-5.0-2.16","","","","","","209","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":50},{""stimulus"":""img/red_lw/2.jpg"",""time"":112},{""stimulus"":""img/red_lw/3.jpg"",""time"":158},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":252},{""stimulus"":""img/red_lw/6.jpg"",""time"":314},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":456},{""stimulus"":""img/red_lw/10.jpg"",""time"":503},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","39","85562","0.0-5.0-1.17","","334","","img/red_lw/choose11.jpg","2","208","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","40","86173","0.0-5.0-2.17","","","","","","208","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":113},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":254},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":455},{""stimulus"":""img/red_lw/10.jpg"",""time"":502},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","41","86489","0.0-5.0-1.18","","314","","img/red_lw/choose11.jpg","2","207","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","42","87092","0.0-5.0-2.18","","","","","","207","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":165},{""stimulus"":""img/red_lw/4.jpg"",""time"":211},{""stimulus"":""img/red_lw/5.jpg"",""time"":258},{""stimulus"":""img/red_lw/6.jpg"",""time"":304},{""stimulus"":""img/red_lw/7.jpg"",""time"":367},{""stimulus"":""img/red_lw/8.jpg"",""time"":402},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":506},{""stimulus"":""img/red_lw/11.jpg"",""time"":552}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","43","87386","0.0-5.0-1.19","","292","","img/red_lw/choose11.jpg","2","206","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","44","88002","0.0-5.0-2.19","","","","","","206","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":165},{""stimulus"":""img/red_lw/4.jpg"",""time"":211},{""stimulus"":""img/red_lw/5.jpg"",""time"":252},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":353},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":461},{""stimulus"":""img/red_lw/10.jpg"",""time"":507},{""stimulus"":""img/red_lw/11.jpg"",""time"":554}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","45","88291","0.0-5.0-1.20","","287","","img/red_lw/choose11.jpg","2","205","red","0.5","0.5","0.5","w","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","46","88893","0.0-5.0-2.20","","","","","","205","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":110},{""stimulus"":""img/red_lw/3.jpg"",""time"":156},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":266},{""stimulus"":""img/red_lw/6.jpg"",""time"":314},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":466},{""stimulus"":""img/red_lw/10.jpg"",""time"":513},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","47","88928","0.0-5.0-1.21","","33","","img/red_lw/choose11.jpg","2","204","red","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","48","89529","0.0-5.0-2.21","","","","","","204","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":63},{""stimulus"":""img/red_ll/2.jpg"",""time"":109},{""stimulus"":""img/red_ll/3.jpg"",""time"":156},{""stimulus"":""img/red_ll/4.jpg"",""time"":201},{""stimulus"":""img/red_ll/5.jpg"",""time"":252},{""stimulus"":""img/red_ll/6.jpg"",""time"":301},{""stimulus"":""img/red_ll/7.jpg"",""time"":351},{""stimulus"":""img/red_ll/8.jpg"",""time"":402},{""stimulus"":""img/red_ll/9.jpg"",""time"":451},{""stimulus"":""img/red_ll/10.jpg"",""time"":502},{""stimulus"":""img/red_ll/11.jpg"",""time"":552}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","49","89646","0.0-5.0-1.22","","116","","img/red_ll/choose11.jpg","2","203","red","0.5","0.5","0.5","w","",""
