"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","blurwarn","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","image-keyboard-response","6","214755","0.0-6.0-0.0-0.0","1","","12815","","","","49","","","","","","",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","7","215523","0.0-6.0-1.0","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","8","265475","0.0-6.0-2.0","","","49950","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>S F</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","9","265730","0.0-6.0-3.0","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>S F</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","10","266232","0.0-6.0-1.1","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","11","268118","0.0-6.0-2.1","","","1885","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>S F</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","12","268382","0.0-6.0-3.1","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>S F</font></div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","13","268884","0.0-6.0-1.2","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","14","270419","0.0-6.0-2.2","","","1534","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>S F</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","15","270676","0.0-6.0-3.2","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>S F</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","16","271182","0.0-6.0-1.3","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","17","274227","0.0-6.0-2.3","","","3045","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>C G</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","18","274487","0.0-6.0-3.3","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>C G</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","19","275002","0.0-6.0-1.4","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","20","276595","0.0-6.0-2.4","","","1593","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>C G</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","21","276848","0.0-6.0-3.4","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>C G</font></div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","22","277362","0.0-6.0-1.5","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","23","280099","0.0-6.0-2.5","","","2736","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>F S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","24","280360","0.0-6.0-3.5","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>F S</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","25","280861","0.0-6.0-1.6","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","26","283443","0.0-6.0-2.6","","","2581","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>J Z</div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","27","283693","0.0-6.0-3.6","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>J Z</font></div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","28","284198","0.0-6.0-1.7","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","29","289955","0.0-6.0-2.7","","","5756","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>S M</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","30","290216","0.0-6.0-3.7","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>S M</font></div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","31","290719","0.0-6.0-1.8","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","32","291443","0.0-6.0-2.8","","","724","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>S M</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","33","291698","0.0-6.0-3.8","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>S M</font></div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","34","292199","0.0-6.0-1.9","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","35","293394","0.0-6.0-2.9","","","1195","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>S F</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","36","293649","0.0-6.0-3.9","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>S F</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","37","294150","0.0-6.0-1.10","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","38","295315","0.0-6.0-2.10","","","1164","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>J Z</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","39","295580","0.0-6.0-3.10","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>J Z</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","40","296093","0.0-6.0-1.11","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","41","298051","0.0-6.0-2.11","","","1957","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>S M</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$60<br>for<br>5","1","54","60","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","42","298314","0.0-6.0-3.11","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>S M</font></div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","1","54","60","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","43","298825","0.0-6.0-1.12","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","44","300771","0.0-6.0-2.12","","","1944","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>S M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","45","301025","0.0-6.0-3.12","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>S M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","46","301532","0.0-6.0-1.13","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","47","306259","0.0-6.0-2.13","","","4727","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>C G</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","48","306516","0.0-6.0-3.13","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>C G</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","49","307031","0.0-6.0-1.14","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","50","308371","0.0-6.0-2.14","","","1339","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>S M</div></div><div class='cr'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5","OTHER"
