"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","20","170448","0.0-6.0-2.4","","2280","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Sam S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","21","170714","0.0-6.0-3.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$19<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Sam S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","22","171216","0.0-6.0-1.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","23","173047","0.0-6.0-2.5","","1830","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","24","173307","0.0-6.0-3.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Nick A</font></div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","25","173811","0.0-6.0-1.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","26","175823","0.0-6.0-2.6","","2012","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","27","176088","0.0-6.0-3.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","28","176591","0.0-6.0-1.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","29","179120","0.0-6.0-2.7","","2527","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Lauren L</div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","30","179373","0.0-6.0-3.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Lauren L</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","31","179876","0.0-6.0-1.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","32","181544","0.0-6.0-2.8","","1667","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","1","25","60","3","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","33","181808","0.0-6.0-3.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>Nick A</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","1","25","60","3",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","34","182313","0.0-6.0-1.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","35","183935","0.0-6.0-2.9","","1621","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Lauren L</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","36","184200","0.0-6.0-3.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Lauren L</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","37","184705","0.0-6.0-1.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","38","186920","0.0-6.0-2.10","","2213","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","39","187174","0.0-6.0-3.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","40","187678","0.0-6.0-1.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","41","191079","0.0-6.0-2.11","","3401","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","42","191338","0.0-6.0-3.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","43","191842","0.0-6.0-1.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","44","193440","0.0-6.0-2.12","","1596","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","45","193695","0.0-6.0-3.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","46","194197","0.0-6.0-1.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","47","195807","0.0-6.0-2.13","","1609","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","48","196070","0.0-6.0-3.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","49","196572","0.0-6.0-1.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","50","199350","0.0-6.0-2.14","","2777","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
