"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","success","stimulus","key_press","trialtype","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"html-keyboard-response","25","64945","0.0-6.0-2.6","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1711","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5","SELF"
"html-keyboard-response","26","65198","0.0-6.0-3.6","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5",""
"html-keyboard-response","27","65702","0.0-6.0-1.7","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","28","67879","0.0-6.0-2.7","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","2174","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$80<br>for<br>yourself","$85<br>for<br>5","1","80","85","5","SELF"
"html-keyboard-response","29","68133","0.0-6.0-3.7","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$80<br>for<br>yourself","$85<br>for<br>5","1","80","85","5",""
"html-keyboard-response","30","68637","0.0-6.0-1.8","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","31","70172","0.0-6.0-2.8","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1534","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"html-keyboard-response","32","70424","0.0-6.0-3.8","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"html-keyboard-response","33","70926","0.0-6.0-1.9","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","34","73215","0.0-6.0-2.9","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","2287","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>ON</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
"html-keyboard-response","35","73468","0.0-6.0-3.9","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>ON</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"html-keyboard-response","36","73970","0.0-6.0-1.10","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","37","78369","0.0-6.0-2.10","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","4396","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>ON</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3","SELF"
"html-keyboard-response","38","78622","0.0-6.0-3.10","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>ON</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3",""
"html-keyboard-response","39","79125","0.0-6.0-1.11","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","40","81001","0.0-6.0-2.11","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1874","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>ON</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","SELF"
"html-keyboard-response","41","81254","0.0-6.0-3.11","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$41<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>ON</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"html-keyboard-response","42","81763","0.0-6.0-1.12","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","43","83375","0.0-6.0-2.12","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1610","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","SELF"
"html-keyboard-response","44","83630","0.0-6.0-3.12","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$69<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"html-keyboard-response","45","84132","0.0-6.0-1.13","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","46","85763","0.0-6.0-2.13","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1629","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","SELF"
"html-keyboard-response","47","86016","0.0-6.0-3.13","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5",""
"html-keyboard-response","48","86519","0.0-6.0-1.14","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","49","87590","0.0-6.0-2.14","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1068","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4","SELF"
"html-keyboard-response","50","87843","0.0-6.0-3.14","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>NA</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4",""
"html-keyboard-response","51","88345","0.0-6.0-1.15","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","52","89693","0.0-6.0-2.15","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1346","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>NN</div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$31<br>for<br>yourself","$85<br>for<br>1","1","31","85","1","OTHER"
"html-keyboard-response","53","89947","0.0-6.0-3.15","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>NN</font></div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$31<br>for<br>yourself","$85<br>for<br>1","1","31","85","1",""
