"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"html-keyboard-response","12","439057","0.0-6.0-1.2","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","440840","0.0-6.0-2.2","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1782","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Brandon</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","OTHER"
"html-keyboard-response","14","441091","0.0-6.0-3.2","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Brandon</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"html-keyboard-response","15","441593","0.0-6.0-1.3","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","442969","0.0-6.0-2.3","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1375","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Grace</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1","OTHER"
"html-keyboard-response","17","443220","0.0-6.0-3.3","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Grace</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1",""
"html-keyboard-response","18","443722","0.0-6.0-1.4","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","19","445797","0.0-6.0-2.4","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","2073","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Renatta</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","OTHER"
"html-keyboard-response","20","446048","0.0-6.0-3.4","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Renatta</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2",""
"html-keyboard-response","21","446549","0.0-6.0-1.5","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","22","448340","0.0-6.0-2.5","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1790","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Jacob</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$30<br>for<br>4","0","25","30","4","SELF"
"html-keyboard-response","23","448593","0.0-6.0-3.5","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Jacob</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","0","25","30","4",""
"html-keyboard-response","24","449095","0.0-6.0-1.6","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","25","450268","0.0-6.0-2.6","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1172","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Brandon</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","SELF"
"html-keyboard-response","26","450520","0.0-6.0-3.6","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Brandon</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"html-keyboard-response","27","451022","0.0-6.0-1.7","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","28","452317","0.0-6.0-2.7","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1293","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Renatta</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","OTHER"
"html-keyboard-response","29","452568","0.0-6.0-3.7","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Renatta</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2",""
"html-keyboard-response","30","453070","0.0-6.0-1.8","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","31","454221","0.0-6.0-2.8","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1150","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Michael </div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","SELF"
"html-keyboard-response","32","454472","0.0-6.0-3.8","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Michael </div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5",""
"html-keyboard-response","33","454974","0.0-6.0-1.9","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","34","456036","0.0-6.0-2.9","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1060","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Michael </div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5","SELF"
"html-keyboard-response","35","456288","0.0-6.0-3.9","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Michael </div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5",""
"html-keyboard-response","36","456790","0.0-6.0-1.10","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","37","458012","0.0-6.0-2.10","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1221","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Jacob</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4","SELF"
"html-keyboard-response","38","458263","0.0-6.0-3.10","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Jacob</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4",""
"html-keyboard-response","39","458765","0.0-6.0-1.11","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","40","460171","0.0-6.0-2.11","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1404","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>Grace</div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31<br>for<br>yourself","$85<br>for<br>1","1","31","85","1","OTHER"
"html-keyboard-response","41","460423","0.0-6.0-3.11","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Grace</font></div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","1","31","85","1",""
"html-keyboard-response","42","460926","0.0-6.0-1.12","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","43","462066","0.0-6.0-2.12","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1139","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Brandon</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","SELF"
"html-keyboard-response","44","462317","0.0-6.0-3.12","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Brandon</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"html-keyboard-response","45","462819","0.0-6.0-1.13","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","46","464507","0.0-6.0-2.13","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1687","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Brandon</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","OTHER"
"html-keyboard-response","47","464759","0.0-6.0-3.13","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Brandon</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"html-keyboard-response","48","465269","0.0-6.0-1.14","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","49","466187","0.0-6.0-2.14","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","916","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Michael </div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
