"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","numBlurs","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","12","161444","0.0-6.0-3.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>danny c</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$27<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","13","161953","0.0-6.0-1.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","14","164460","0.0-6.0-2.2","","2504","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Michell s</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5","SELF"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","15","164716","0.0-6.0-3.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Michell s</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","16","165224","0.0-6.0-1.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","17","169477","0.0-6.0-2.3","","4249","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>danny c</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","SELF"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","18","169733","0.0-6.0-3.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>danny c</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","19","170238","0.0-6.0-1.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","20","172684","0.0-6.0-2.4","","2444","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Michell s</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","21","172942","0.0-6.0-3.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>Michell s</font></div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","22","173449","0.0-6.0-1.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","23","175872","0.0-6.0-2.5","","2421","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>senia t</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","24","176131","0.0-6.0-3.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>senia t</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","25","176636","0.0-6.0-1.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","26","178215","0.0-6.0-2.6","","1578","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Michell s</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","27","178469","0.0-6.0-3.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Michell s</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","28","178975","0.0-6.0-1.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","29","180899","0.0-6.0-2.7","","1921","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Michell s</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","30","181156","0.0-6.0-3.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Michell s</font></div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","31","181662","0.0-6.0-1.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","32","183071","0.0-6.0-2.8","","1408","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>danny c</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","33","183325","0.0-6.0-3.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>danny c</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","34","183828","0.0-6.0-1.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","35","186990","0.0-6.0-2.9","","3159","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Michell s</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","36","187248","0.0-6.0-3.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Michell s</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","37","187752","0.0-6.0-1.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","38","188757","0.0-6.0-2.10","","1002","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>danny c</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","39","189013","0.0-6.0-3.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>danny c</font></div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","40","189523","0.0-6.0-1.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","41","191656","0.0-6.0-2.11","","2130","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Michell s</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","42","191913","0.0-6.0-3.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Michell s</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","43","192420","0.0-6.0-1.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","44","194126","0.0-6.0-2.12","","1702","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>senia t</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4","SELF"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","45","194383","0.0-6.0-3.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>senia t</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","46","194893","0.0-6.0-1.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","47","196672","0.0-6.0-2.13","","1777","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>senia t</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br>for<br>yourself","$75<br>for<br>4","0","55","75","4","SELF"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","48","196929","0.0-6.0-3.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>senia t</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","0","55","75","4",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","49","197435","0.0-6.0-1.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","50","199220","0.0-6.0-2.14","","1783","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>senia t</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br>for<br>yourself","$60<br>for<br>4","0","49","60","4","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","51","199479","0.0-6.0-3.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>senia t</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","0","49","60","4",""
