"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","7","137529","0.0-6.0-1.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","8","142862","0.0-6.0-2.0","","5327","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Joey B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","9","143118","0.0-6.0-3.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Joey B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","10","143620","0.0-6.0-1.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","11","146400","0.0-6.0-2.1","","2778","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Joey B</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","12","146657","0.0-6.0-3.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Joey B</font></div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","13","147160","0.0-6.0-1.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","14","149299","0.0-6.0-2.2","","2136","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Nick B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","15","149553","0.0-6.0-3.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Nick B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","16","150059","0.0-6.0-1.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","17","151371","0.0-6.0-2.3","","1311","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Joey B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","18","151627","0.0-6.0-3.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Joey B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","19","152133","0.0-6.0-1.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","20","154140","0.0-6.0-2.4","","2005","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Alma C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5","SELF"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","21","154396","0.0-6.0-3.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Alma C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","22","154899","0.0-6.0-1.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","23","157534","0.0-6.0-2.5","","2633","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Kayla M</div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","24","157787","0.0-6.0-3.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Kayla M</font></div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","25","158290","0.0-6.0-1.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","26","160662","0.0-6.0-2.6","","2372","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Alma C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","SELF"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","27","160916","0.0-6.0-3.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Alma C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","28","161422","0.0-6.0-1.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","29","163811","0.0-6.0-2.7","","2388","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Alma C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$55<br>for<br>5","0","54","55","5","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","30","164064","0.0-6.0-3.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Alma C</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","0","54","55","5",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","31","164570","0.0-6.0-1.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","32","167461","0.0-6.0-2.8","","2891","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Alma C</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5","SELF"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","33","167715","0.0-6.0-3.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Alma C</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","34","168221","0.0-6.0-1.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","35","171993","0.0-6.0-2.9","","3771","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>Kayla M</div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","36","172250","0.0-6.0-3.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Kayla M</font></div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","37","172751","0.0-6.0-1.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","38","174195","0.0-6.0-2.10","","1442","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Kayla M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br>for<br>yourself","$75<br>for<br>4","0","55","75","4","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","39","174452","0.0-6.0-3.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Kayla M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","0","55","75","4",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","40","174952","0.0-6.0-1.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","41","179135","0.0-6.0-2.11","","4182","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Alma C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","42","179387","0.0-6.0-3.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>Alma C</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","43","179894","0.0-6.0-1.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","44","182961","0.0-6.0-2.12","","3066","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Kayla M</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4","SELF"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","45","183217","0.0-6.0-3.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Kayla M</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","46","183719","0.0-6.0-1.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","47","185936","0.0-6.0-2.13","","2216","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Lily B</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","48","186194","0.0-6.0-3.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Lily B</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"","","","FIX","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","49","186694","0.0-6.0-1.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","50","188513","0.0-6.0-2.14","","1818","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Alma C</div></div><div class='cr'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5","OTHER"
"","","","offerFB","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","html-keyboard-response","51","188770","0.0-6.0-3.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Alma C</font></div></div><div class='cr'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5",""
