"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","8","108567","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>GAIA S</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","9","109069","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","10","110302","0.0-6.0-2.1","","1231","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>JULIO S </div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","11","110555","0.0-6.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$69<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>JULIO S </div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","12","111056","0.0-6.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","13","112636","0.0-6.0-2.2","","1577","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>ALEX J</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","14","112889","0.0-6.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>ALEX J</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","15","113391","0.0-6.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","16","114541","0.0-6.0-2.3","","1149","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>PEDRO S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","17","114795","0.0-6.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$41<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>PEDRO S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","18","115296","0.0-6.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","19","116505","0.0-6.0-2.4","","1206","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>PEDRO S</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","20","116758","0.0-6.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>PEDRO S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$27<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","21","117259","0.0-6.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","22","118444","0.0-6.0-2.5","","1182","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>ALEX J</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","23","118696","0.0-6.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>ALEX J</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","24","119197","0.0-6.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","25","120479","0.0-6.0-2.6","","1279","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>PEDRO S</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","26","120732","0.0-6.0-3.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>PEDRO S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","27","121234","0.0-6.0-1.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","28","122389","0.0-6.0-2.7","","1154","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>ALEX J</div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","29","122642","0.0-6.0-3.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>ALEX J</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","30","123144","0.0-6.0-1.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","31","124208","0.0-6.0-2.8","","1062","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>JULIO S </div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","32","124460","0.0-6.0-3.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>JULIO S </div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","33","124962","0.0-6.0-1.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","34","126023","0.0-6.0-2.9","","1059","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>ALEX J</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","35","126275","0.0-6.0-3.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>ALEX J</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","36","126777","0.0-6.0-1.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","37","127622","0.0-6.0-2.10","","843","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>PEDRO S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","38","127875","0.0-6.0-3.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>PEDRO S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","39","128376","0.0-6.0-1.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","40","129161","0.0-6.0-2.11","","783","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>JULIO S </div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$30<br>for<br>4","0","25","30","4","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","41","129414","0.0-6.0-3.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>JULIO S </div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","0","25","30","4",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","42","129916","0.0-6.0-1.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","43","130486","0.0-6.0-2.12","","568","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>GAIA S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","44","130738","0.0-6.0-3.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>GAIA S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","45","131240","0.0-6.0-1.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","46","132300","0.0-6.0-2.13","","1058","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>GAIA S</div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2","OTHER"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","47","132552","0.0-6.0-3.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>GAIA S</font></div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","48","133054","0.0-6.0-1.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","49","133925","0.0-6.0-2.14","","870","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>JULIO S </div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4","SELF"
"","","","offerFB","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","50","134177","0.0-6.0-3.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>JULIO S </div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4",""
