"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","numBlurs","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","11","48083","0.0-6.0-2.1","","1726","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>OL</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5","SELF"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","12","48339","0.0-6.0-3.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>OL</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","13","48847","0.0-6.0-1.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","14","49952","0.0-6.0-2.2","","1103","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>BR</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","1","25","60","3","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","15","50210","0.0-6.0-3.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>BR</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","1","25","60","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","16","50718","0.0-6.0-1.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","17","52787","0.0-6.0-2.3","","2066","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>OL</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$60<br>for<br>5","1","54","60","5","SELF"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","18","53044","0.0-6.0-3.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>OL</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","1","54","60","5",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","19","53550","0.0-6.0-1.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","20","54653","0.0-6.0-2.4","","1100","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>MN</div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4","SELF"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","21","54905","0.0-6.0-3.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>MN</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$69<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","22","55412","0.0-6.0-1.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","23","56950","0.0-6.0-2.5","","1533","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>MD</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","24","57207","0.0-6.0-3.5","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>MD</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","25","57714","0.0-6.0-1.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","26","59155","0.0-6.0-2.6","","1437","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>MD</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","27","59412","0.0-6.0-3.6","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>MD</font></div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","28","59920","0.0-6.0-1.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","29","61402","0.0-6.0-2.7","","1481","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>MN</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","30","61659","0.0-6.0-3.7","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>MN</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","31","62166","0.0-6.0-1.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","32","63902","0.0-6.0-2.8","","1733","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>BR</div></div><div class='cr'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br>for<br>yourself","$75<br>for<br>3","1","41","75","3","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","33","64160","0.0-6.0-3.8","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>BR</font></div></div><div class='cr'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","1","41","75","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","34","64667","0.0-6.0-1.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","35","66242","0.0-6.0-2.9","","1572","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>BR</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","36","66499","0.0-6.0-3.9","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>BR</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","37","67007","0.0-6.0-1.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","38","68134","0.0-6.0-2.10","","1120","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>OL</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","39","68392","0.0-6.0-3.10","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>OL</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","40","68899","0.0-6.0-1.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","41","70763","0.0-6.0-2.11","","1860","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>OL</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br>for<br>yourself","$35<br>for<br>5","0","34","35","5","SELF"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","42","71020","0.0-6.0-3.11","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>OL</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","0","34","35","5",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","43","71524","0.0-6.0-1.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","44","72949","0.0-6.0-2.12","","1422","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>OL</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","45","73206","0.0-6.0-3.12","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>OL</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","46","73712","0.0-6.0-1.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","47","74545","0.0-6.0-2.13","","829","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>BR</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","48","74803","0.0-6.0-3.13","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>BR</font></div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","49","75310","0.0-6.0-1.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","50","75961","0.0-6.0-2.14","","647","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>MN</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","51","76218","0.0-6.0-3.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>MN</font></div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4",""
