"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen","numBlurs"
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","13","380441","0.0-6.0-2.2","","6745","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Starla T</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","14","380691","0.0-6.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Starla T</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","15","381193","0.0-6.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"blur","16","387691","blurevent","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","","","","","","","","","","","","","","","","","","1"
"focus","16","395678","focusevent","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","","","","","","","","","","","","","","","","","",""
"blur","16","387691","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","16","402315","0.0-6.0-2.3","","21121","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Russel B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","OTHER","1"
"blur","16","387691","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","17","402566","0.0-6.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Russel B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","","1"
"","","","blurwarn","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","image-keyboard-response","18","407724","0.0-6.0-0.4-0.4","","5156","","","","49","","","","","","","","1"
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","19","408474","0.0-6.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","20","414372","0.0-6.0-2.4","","5897","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Starla T</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","21","414624","0.0-6.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Starla T</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","22","415125","0.0-6.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","23","419677","0.0-6.0-2.5","","4552","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>John B</div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","24","419929","0.0-6.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>John B</font></div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","25","420431","0.0-6.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","26","429943","0.0-6.0-2.6","","9510","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Jesus H</div></div><div class='cr'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","1","41","75","3","SELF",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","27","430194","0.0-6.0-3.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Jesus H</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$41<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","1","41","75","3","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","28","430695","0.0-6.0-1.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","29","441079","0.0-6.0-2.7","","10384","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Starla T</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","30","441331","0.0-6.0-3.7","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Starla T</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","31","441831","0.0-6.0-1.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","32","447160","0.0-6.0-2.8","","5328","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>John B</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","33","447412","0.0-6.0-3.8","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>John B</font></div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","34","447912","0.0-6.0-1.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","35","456377","0.0-6.0-2.9","","8465","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>John B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","36","456629","0.0-6.0-3.9","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>John B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","37","457129","0.0-6.0-1.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","38","464450","0.0-6.0-2.10","","7320","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Starla T</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","SELF",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","39","464701","0.0-6.0-3.10","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Starla T</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","40","465202","0.0-6.0-1.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","41","473836","0.0-6.0-2.11","","8633","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Russel B</div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","42","474088","0.0-6.0-3.11","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Russel B</font></div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","43","474588","0.0-6.0-1.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","44","478924","0.0-6.0-2.12","","4336","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Jesus H</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","45","479174","0.0-6.0-3.12","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Jesus H</font></div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","46","479675","0.0-6.0-1.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","47","486389","0.0-6.0-2.13","","6713","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Starla T</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5","SELF",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","48","486640","0.0-6.0-3.13","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Starla T</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","49","487141","0.0-6.0-1.14","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","50","500215","0.0-6.0-2.14","","13073","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Jesus H</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","OTHER",""
